name,address,phone,category,lat,lng,id,url
남영포차,서울 용산구 갈월동 86-8,02-718-7772,음식점 > 술집 > 실내포장마차,37.54448967,126.9715354,1225452856,https://pcmap.place.naver.com/place/1225452856
가든한밤,서울 용산구 갈월동 53-21,010-5389-5321,음식점 > 술집 > 와인바,37.54566241,126.9738604,1726513067,https://pcmap.place.naver.com/place/1726513067
굴다리포차,서울 용산구 갈월동 69-16,02-716-5892,음식점 > 술집 > 실내포장마차,37.54415545,126.9717336,1965941528,https://pcmap.place.naver.com/place/1965941528
디거이즈디깅,서울 용산구 갈월동 86-8,02-711-7685,음식점 > 술집,37.54442841,126.9715332,1196717317,https://pcmap.place.naver.com/place/1196717317
코메리카,서울 용산구 갈월동 93-45,02-501-1860,음식점 > 술집,37.54272461,126.9715123,1179762257,https://pcmap.place.naver.com/place/1179762257
크라운호프 숙대입구점,서울 용산구 갈월동 69-55,0507-1332-9273,음식점 > 술집 > 요리주점 > 크라운호프,37.54421674,126.9718354,1091044478,https://pcmap.place.naver.com/place/1091044478
역전할머니맥주 서울숙대입구점,서울 용산구 갈월동 69-46,02-717-7038,음식점 > 술집 > 요리주점 > 역전할머니맥주,37.5443789,126.9717561,1294706090,https://pcmap.place.naver.com/place/1294706090
이웃집영준이,서울 용산구 갈월동 88-33,0507-1358-8765,음식점 > 술집 > 요리주점,37.54395537,126.971496,1437567446,https://pcmap.place.naver.com/place/1437567446
나바호,서울 용산구 갈월동 87-2,02-714-4679,음식점 > 술집 > 요리주점,37.54395009,126.9720188,31728653,https://pcmap.place.naver.com/place/31728653
구복만두,서울 용산구 갈월동 59-13,02-797-8656,음식점 > 분식,37.54540633,126.9729914,36432841,https://pcmap.place.naver.com/place/36432841
털보네떡꼬치,서울 용산구 갈월동 87-15,02-704-8425,음식점 > 분식,37.54425283,126.9720277,32566072,https://pcmap.place.naver.com/place/32566072
마구로참치,서울 용산구 갈월동 92-14,02-704-8006,음식점 > 일식 > 참치회,37.54241848,126.9724041,1823752520,https://pcmap.place.naver.com/place/1823752520
스턴하우스,서울 용산구 갈월동 19-4,010-7152-1597,음식점 > 카페 > 커피전문점,37.54547834,126.972661,1226824085,https://pcmap.place.naver.com/place/1226824085
인마이메모리,서울 용산구 갈월동 86-2,010-5223-2326,음식점 > 카페,37.54431035,126.9714359,1249363513,https://pcmap.place.naver.com/place/1249363513
