place_name,region,menu_name,menu_price,address,url,allergy,disease,emotion_summary,top_tags,menu_id,restaurant_id,ingredient
일신기사식당,청파동,순두부,8000,서울 용산구 청파동2가 1-146,https://pcmap.place.naver.com/place/18717848,땅콩/대두,['신장질환'],"재방문:4, 친절함:11, 매움:2, 분위기좋음:1, 특별함:1, 가성비:4, 양많음:1, 중독성:2","친절함, 재방문, 가성비",0,0,없음
일신기사식당,청파동,삼계탕,10000,서울 용산구 청파동2가 1-146,https://pcmap.place.naver.com/place/18717848,고기,['신장질환'],"재방문:4, 친절함:11, 매움:2, 분위기좋음:1, 특별함:1, 가성비:4, 양많음:1, 중독성:2","친절함, 재방문, 가성비",1,0,고기
일신기사식당,청파동,불고기백반,12000,서울 용산구 청파동2가 1-146,https://pcmap.place.naver.com/place/18717848,고기,"['고혈압', '신장질환']","재방문:4, 친절함:11, 매움:2, 분위기좋음:1, 특별함:1, 가성비:4, 양많음:1, 중독성:2","친절함, 재방문, 가성비",2,0,고기
정,청파동,매운맛 탕수육,17000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,"밀, 고기",['신장질환'],"재방문:6, 매움:24, 단맛:2, 분위기좋음:16, 중독성:5, 친절함:12, 특별함:1, 가성비:2, 야식:3, 양많음:1, 짠맛:1","매움, 분위기좋음, 친절함",3,1,고기
정,청파동,고추간짜장,8500,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,"밀, 고기","['고혈압', '신장질환']","재방문:6, 매움:24, 단맛:2, 분위기좋음:16, 중독성:5, 친절함:12, 특별함:1, 가성비:2, 야식:3, 양많음:1, 짠맛:1","매움, 분위기좋음, 친절함",4,1,"고기, 내장"
정,청파동,탕수육,16000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,"밀, 고기",['신장질환'],"재방문:6, 매움:24, 단맛:2, 분위기좋음:16, 중독성:5, 친절함:12, 특별함:1, 가성비:2, 야식:3, 양많음:1, 짠맛:1","매움, 분위기좋음, 친절함",5,1,고기
정,청파동,깐풍기,25000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,고기,['신장질환'],"재방문:6, 매움:24, 단맛:2, 분위기좋음:16, 중독성:5, 친절함:12, 특별함:1, 가성비:2, 야식:3, 양많음:1, 짠맛:1","매움, 분위기좋음, 친절함",6,1,고기
정,청파동,삼선짬뽕,12000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,밀,"['고혈압', '신장질환']","재방문:6, 매움:24, 단맛:2, 분위기좋음:16, 중독성:5, 친절함:12, 특별함:1, 가성비:2, 야식:3, 양많음:1, 짠맛:1","매움, 분위기좋음, 친절함",7,1,없음
정,청파동,고추짜장,7500,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,밀,"['고혈압', '신장질환']","재방문:6, 매움:24, 단맛:2, 분위기좋음:16, 중독성:5, 친절함:12, 특별함:1, 가성비:2, 야식:3, 양많음:1, 짠맛:1","매움, 분위기좋음, 친절함",8,1,없음
정,청파동,전가복,28000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,"달걀, 고기",[],"재방문:6, 매움:24, 단맛:2, 분위기좋음:16, 중독성:5, 친절함:12, 특별함:1, 가성비:2, 야식:3, 양많음:1, 짠맛:1","매움, 분위기좋음, 친절함",9,1,없음
정,청파동,홍소탕면,12000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,"밀, 고기",['신장질환'],"재방문:6, 매움:24, 단맛:2, 분위기좋음:16, 중독성:5, 친절함:12, 특별함:1, 가성비:2, 야식:3, 양많음:1, 짠맛:1","매움, 분위기좋음, 친절함",10,1,고기
와플하우스,청파동,딸기빙수,13000,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,우유,['당뇨'],"친절함:6, 재방문:8, 중독성:12, 포장추천:5, 가성비:5, 단맛:7, 분위기좋음:4, 양많음:3, 특별함:1","중독성, 재방문, 단맛",11,2,없음
와플하우스,청파동,와플,4000,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,"밀, 우유","['당뇨', '신장질환']","친절함:6, 재방문:8, 중독성:12, 포장추천:5, 가성비:5, 단맛:7, 분위기좋음:4, 양많음:3, 특별함:1","중독성, 재방문, 단맛",12,2,없음
와플하우스,청파동,카라멜라떼,4800,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,우유,"['당뇨', '저혈압']","친절함:6, 재방문:8, 중독성:12, 포장추천:5, 가성비:5, 단맛:7, 분위기좋음:4, 양많음:3, 특별함:1","중독성, 재방문, 단맛",13,2,없음
와플하우스,청파동,바닐라라떼,4800,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,우유,"['당뇨', '저혈압']","친절함:6, 재방문:8, 중독성:12, 포장추천:5, 가성비:5, 단맛:7, 분위기좋음:4, 양많음:3, 특별함:1","중독성, 재방문, 단맛",14,2,없음
와플하우스,청파동,카페라떼,4500,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,우유,"['당뇨', '저혈압']","친절함:6, 재방문:8, 중독성:12, 포장추천:5, 가성비:5, 단맛:7, 분위기좋음:4, 양많음:3, 특별함:1","중독성, 재방문, 단맛",15,2,없음
와플하우스,청파동,헤이즐넛아메리카노,4100,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,없음,['저혈압'],"친절함:6, 재방문:8, 중독성:12, 포장추천:5, 가성비:5, 단맛:7, 분위기좋음:4, 양많음:3, 특별함:1","중독성, 재방문, 단맛",16,2,없음
와플하우스,청파동,아메리카노,3800,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,없음,['저혈압'],"친절함:6, 재방문:8, 중독성:12, 포장추천:5, 가성비:5, 단맛:7, 분위기좋음:4, 양많음:3, 특별함:1","중독성, 재방문, 단맛",17,2,없음
와플하우스,청파동,에그버거,5500,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,"달걀, 밀",['신장질환'],"친절함:6, 재방문:8, 중독성:12, 포장추천:5, 가성비:5, 단맛:7, 분위기좋음:4, 양많음:3, 특별함:1","중독성, 재방문, 단맛",18,2,없음
와플하우스,청파동,불고기버거,6800,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,"밀, 고기","['고혈압', '신장질환']","친절함:6, 재방문:8, 중독성:12, 포장추천:5, 가성비:5, 단맛:7, 분위기좋음:4, 양많음:3, 특별함:1","중독성, 재방문, 단맛",19,2,고기
와플하우스,청파동,커피쉐이크,4800,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,우유,['저혈압'],"친절함:6, 재방문:8, 중독성:12, 포장추천:5, 가성비:5, 단맛:7, 분위기좋음:4, 양많음:3, 특별함:1","중독성, 재방문, 단맛",20,2,없음
와플하우스,청파동,청포도에이드,4500,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,없음,[],"친절함:6, 재방문:8, 중독성:12, 포장추천:5, 가성비:5, 단맛:7, 분위기좋음:4, 양많음:3, 특별함:1","중독성, 재방문, 단맛",21,2,없음
