place_name,menu_name,menu_price
교촌치킨 숙대점,교촌싱글윙,-
교촌치킨 숙대점,레드싱글윙,-
교촌치킨 숙대점,교촌옥수수통안심 떡볶이세트,-
교촌치킨 숙대점,교촌옥수수오리지날 떡볶이세트,-
교촌치킨 숙대점,교촌오리지날(한마리),-
교촌치킨 숙대점,[기간한정]싱글윙클래식세트,-
교촌치킨 숙대점,[기간한정]싱글윙스페셜세트,-
교촌치킨 숙대점,교촌윙박스,-
교촌치킨 숙대점,레드윙박스,-
교촌치킨 숙대점,허니윙박스,-
교촌치킨 숙대점,후라이드윙박스,-
교촌치킨 숙대점,양념치킨윙박스,-
교촌치킨 숙대점,양념치킨싱글윙,-
교촌치킨 숙대점,후라이드싱글윙,-
교촌치킨 숙대점,허니싱글윙,-
교촌치킨 숙대점,교촌싱글윙,-
교촌치킨 숙대점,레드싱글윙,-
교촌치킨 숙대점,허니오리지날(한마리),-
교촌치킨 숙대점,허니콤보,-
교촌치킨 숙대점,허니순살,-
교촌치킨 숙대점,교촌후라이드,-
교촌치킨 숙대점,교촌양념치킨,-
교촌치킨 숙대점,교촌후라이드양념반반,-
교촌치킨 숙대점,리얼후라이드,-
교촌치킨 숙대점,살살후라이드,-
교촌치킨 숙대점,교촌옥수수통안심 떡볶이세트,-
교촌치킨 숙대점,교촌옥수수순살 떡볶이세트,-
교촌치킨 숙대점,교촌옥수수오리지날 떡볶이세트,-
교촌치킨 숙대점,교촌옥수수통안심 디핑소스세트,-
교촌치킨 숙대점,교촌옥수수순살 디핑소스세트,-
교촌치킨 숙대점,다담치밥세트(간장맛),-
교촌치킨 숙대점,다담치밥세트(매운맛),-
교촌치킨 숙대점,교촌오리지날(한마리),-
교촌치킨 숙대점,교촌콤보,-
교촌치킨 숙대점,교촌순살,-
교촌치킨 숙대점,레드오리지날(한마리),-
교촌치킨 숙대점,레드콤보,-
교촌치킨 숙대점,레드순살,-
교촌치킨 숙대점,반반오리지날(한마리),-
교촌치킨 숙대점,반반콤보,-
교촌치킨 숙대점,반반순살,-
교촌치킨 숙대점,레허반반순살,-
교촌치킨 숙대점,교촌콤보[S],-
교촌치킨 숙대점,교촌순살[S],-
교촌치킨 숙대점,레드콤보[S],-
교촌치킨 숙대점,레드순살[S],-
교촌치킨 숙대점,허니순살[S],-
교촌치킨 숙대점,New 교촌X노티드 츄러스(5ea),-
교촌치킨 숙대점,다담덮밥(간장맛),-
교촌치킨 숙대점,다담덮밥(매운맛),-
교촌치킨 숙대점,살살후라이드미니,-
교촌치킨 숙대점,달걀듬뿍볶음밥,-
교촌치킨 숙대점,양념치킨디핑소스,-
교촌치킨 숙대점,New 화이트크림소스,-
교촌치킨 숙대점,트리플레드소스,-
교촌치킨 숙대점,허니케찹소스,-
교촌치킨 숙대점,치즈트러플시즈닝,-
교촌치킨 숙대점,사이다(500ml),-
교촌치킨 숙대점,사이다(1.25L),-
교촌치킨 숙대점,사이다(사이즈업)(1.25L),-
교촌치킨 숙대점,펩시(245ml),-
교촌치킨 숙대점,펩시(1.25L),-
