place_name,menu_name,menu_price
빅리터,B 빅 아메리카노(4샷)(1L),-
빅리터,B 대만흑당버블티(인기메뉴)(1L 펄O),-
빅리터,B 수제 생크림 와플 누텔라(인기메뉴),-
빅리터,B 카야버터 토스트(인기메뉴),-
빅리터,래미안 첼리투스,-
빅리터,이촌한강공원,-
빅리터,7층 이상(엘베X),-
빅리터,B 빅 아메리카노(4샷),-
빅리터,B 자두스무디,-
빅리터,B 자바칩 프라페,-
빅리터,B 얼음동동 미숫가루,-
빅리터,B 천혜향 스무디,-
빅리터,B 빅 아메리카노(4샷)(1L),-
빅리터,B 헤이즐넛아메리카노(1L),-
빅리터,B 대만흑당 아메리카노(1L),-
빅리터,B 카페라떼(4샷)(1L),-
빅리터,B 바닐라 라떼(1L),-
빅리터,B 리얼베리 라떼(1L),-
빅리터,B 리얼 딸기 라떼(인기메뉴)(1L),-
빅리터,B 아빠는 딸바보 (딸바)(1L),-
빅리터,B 리얼믹스베리 바나나(1L),-
빅리터,B 리얼 초코 라떼(1L),-
빅리터,B 자두 스무디(인기메뉴)(1L),-
빅리터,B 복숭아 스무디,-
빅리터,B 탱크보이(배) 스무디(1L),-
빅리터,B 파인애플 스무디(1L),-
빅리터,B 딸기 스무디(1L),-
빅리터,B 죠리퐁 프라페(인기메뉴)(1L),-
빅리터,B 민트초코 프라페(1L),-
빅리터,B 자바칩 프라페(1L),-
빅리터,B 리얼초코 프라페(1L),-
빅리터,B 쿠앤크 초코 프라페(1L),-
빅리터,B 대만흑당버블티(인기메뉴)(1L 펄O),-
빅리터,B얼그레이밀크티(1L(펄X)),-
빅리터,B얼그레이밀크티(1L(펄O)),-
빅리터,B 아쌈홍차밀크티(1L(펄X)),-
빅리터,B 아쌈홍차밀크티(1L(펄O)),-
빅리터,B 체리콕(인기메뉴)(1L),-
빅리터,B리얼베리 에이드(1L),-
빅리터,B 청포도 에이드(1L),-
빅리터,B 체리 에이드(1L),-
빅리터,B 오렌지 에이드(1L),-
빅리터,B 복숭아 아이스티(1L),-
빅리터,B 레몬 아이스티(1L),-
빅리터,B 망고 주스(1L),-
빅리터,B 사과 주스(1L),-
빅리터,B 포도 주스(1L),-
빅리터,B 카야버터 토스트(인기메뉴),-
빅리터,B 카야치즈 토스트,-
빅리터,B 카야 햄 버터 토스트(인기메뉴),-
빅리터,B 카야 햄치즈 토스트,-
빅리터,B 카야 햄치 버터 토스트,-
빅리터,B 수제 생크림 와플 누텔라(인기메뉴),-
빅리터,B 수제생크림 와플 누텔라바나나,-
빅리터,B 수제 생크림와플 애플잼 (인기메뉴),-
빅리터,수제 생크림와플 애플시나몬,-
빅리터,B 수제 생크림와플 로투스,-
빅리터,B 악마의 누텔라 케익(인기메뉴),-
빅리터,B 뚱 솔티드캬라멜 (인기메뉴),-
빅리터,B 뚱 쿠앤크크림치즈(인기메뉴),-
빅리터,B 뚱 딸기 요거트(인기메뉴),-
빅리터,B 뚱 황치즈,-
빅리터,B 뚱 다크초콜릿,-
