place_name,menu_name,menu_price
이삭토스트 효창공원앞역점,계란후라이 햄치즈,-
이삭토스트 효창공원앞역점,계란후라이 스페셜,-
이삭토스트 효창공원앞역점,계란후라이 딥치즈,-
이삭토스트 효창공원앞역점,소이 크런치 치킨,-
이삭토스트 효창공원앞역점,프렌치 에그마요,-
이삭토스트 효창공원앞역점,계란후라이 햄치즈,-
이삭토스트 효창공원앞역점,계란후라이 스페셜,-
이삭토스트 효창공원앞역점,계란후라이 딥치즈,-
이삭토스트 효창공원앞역점,프렌치 에그마요,-
이삭토스트 효창공원앞역점,콘베이컨 에그마요,-
이삭토스트 효창공원앞역점,스크램블 햄치즈,-
이삭토스트 효창공원앞역점,스크램블 베이컨,-
이삭토스트 효창공원앞역점,리얼 양념치킨,-
이삭토스트 효창공원앞역점,감자 스페셜,-
이삭토스트 효창공원앞역점,치킨 스페셜,-
이삭토스트 효창공원앞역점,포테이토 팝(시즈닝),-
이삭토스트 효창공원앞역점,포테이토 팝,-
이삭토스트 효창공원앞역점,치즈 팝,-
이삭토스트 효창공원앞역점,라구 포테이토 팝,-
이삭토스트 효창공원앞역점,어니언 포테이토 팝,-
이삭토스트 효창공원앞역점,H.아메리카노,-
이삭토스트 효창공원앞역점,I.아메리카노,-
이삭토스트 효창공원앞역점,H.디카페인 아메리카노,-
이삭토스트 효창공원앞역점,I.디카페인 아메리카노,-
이삭토스트 효창공원앞역점,아이스티,-
이삭토스트 효창공원앞역점,콜라(캔) 355ml,-
이삭토스트 효창공원앞역점,제로 콜라(캔) 355ml,-
이삭토스트 효창공원앞역점,사이다(캔) 355ml,-
이삭토스트 효창공원앞역점,제로 사이다(캔) 355ml,-
이삭토스트 효창공원앞역점,오렌지주스,-
이삭토스트 효창공원앞역점,생수,-
