place_name,menu_name,menu_price
피자마루 용산효창공원점,[NEW] 레드콘 피자,-
피자마루 용산효창공원점,페퍼로니 치즈폭탄 피자(L),-
피자마루 용산효창공원점,바이트 포테이토 피자(L),-
피자마루 용산효창공원점,몬스터 불고기 피자(L),-
피자마루 용산효창공원점,골드 콤비네이션 피자(L),-
피자마루 용산효창공원점,[NEW] 레드콘 피자,-
피자마루 용산효창공원점,[NEW] 골드 레드콘 피자,-
피자마루 용산효창공원점,[NEW] 바이트 레드콘 피자,-
피자마루 용산효창공원점,[NEW] 몬스터 레드콘 피자,-
피자마루 용산효창공원점,나혼자 1인 피자(25cm) 세트,-
피자마루 용산효창공원점,1인 피자 (25cm) 2판 세트,-
피자마루 용산효창공원점,반반피자,-
피자마루 용산효창공원점,리얼 시카고 오리지날 피자,-
피자마루 용산효창공원점,페퍼로니 치즈폭탄 피자(L),-
피자마루 용산효창공원점,500g 치즈폭탄 피자,-
피자마루 용산효창공원점,크레이지 불새 피자(L),-
피자마루 용산효창공원점,몬스터 아메리칸 체다 피자,-
피자마루 용산효창공원점,몬스터 흑마늘 불고기 피자,-
피자마루 용산효창공원점,몬스터 명란크림쉬림프 피자,-
피자마루 용산효창공원점,몬스터 투움바 피자,-
피자마루 용산효창공원점,몬스터 바비큐 치킨 피자,-
피자마루 용산효창공원점,골드 아메리칸 체다 피자,-
피자마루 용산효창공원점,골드 흑마늘 불고기 피자,-
피자마루 용산효창공원점,골드 명란크림쉬림프 피자,-
피자마루 용산효창공원점,골드 고추마요 치킨 피자,-
피자마루 용산효창공원점,골드 돼지불백 피자,-
피자마루 용산효창공원점,바이트 아메리칸 체다 피자,-
피자마루 용산효창공원점,바이트 흑마늘 불고기 피자,-
피자마루 용산효창공원점,바이트 명란크림 쉬림프 피자,-
피자마루 용산효창공원점,바이트 고추마요 치킨 피자,-
피자마루 용산효창공원점,바이트 돼지불백 피자,-
피자마루 용산효창공원점,라지+라지 대박세트 1,-
피자마루 용산효창공원점,라지+라지 대박세트 2,-
피자마루 용산효창공원점,라지+라지 대박세트 3,-
피자마루 용산효창공원점,트리플 대박세트,-
피자마루 용산효창공원점,마루 클래식 세트,-
피자마루 용산효창공원점,마루 프리미엄 세트,-
피자마루 용산효창공원점,투탑박스 1,-
피자마루 용산효창공원점,투탑박스 2,-
피자마루 용산효창공원점,투탑박스 3,-
피자마루 용산효창공원점,아메리칸 체다 피자,-
피자마루 용산효창공원점,흑마늘 불고기 피자,-
피자마루 용산효창공원점,명란크림쉬림프 피자,-
피자마루 용산효창공원점,고추마요 치킨 피자,-
피자마루 용산효창공원점,돼지불백 피자,-
피자마루 용산효창공원점,점보 페퍼로니 피자(XXXL (18인치)),-
피자마루 용산효창공원점,로제떡볶이,-
피자마루 용산효창공원점,명란크림 스파게티,-
피자마루 용산효창공원점,투움바 스파게티,-
피자마루 용산효창공원점,불닭발(무뼈닭발),-
피자마루 용산효창공원점,마떡,-
피자마루 용산효창공원점,콜라 중,-
피자마루 용산효창공원점,콜라 대,-
피자마루 용산효창공원점,사이다 중,-
피자마루 용산효창공원점,사이다 대,-
피자마루 용산효창공원점,제로콜라 중,-
피자마루 용산효창공원점,핫소스(2개),-
피자마루 용산효창공원점,치즈가루(1개),-
피자마루 용산효창공원점,갈릭디핑소스(1개),-
피자마루 용산효창공원점,피클(1개),-
피자마루 용산효창공원점,딸기쨈(1회용)(1개),-
